EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
10124761,SOUTH DAKOTA,1980,June,Hail,C,BEADLE,0,0,0,0,0,0,
10013724,IOWA,1980,September,Tornado,C,WINNEBAGO,0,0,0,0,2.5M,0,F2
10013725,IOWA,1980,September,Tornado,C,WORTH,0,0,0,0,2.5M,0,F2
10013726,IOWA,1980,September,Thunderstorm Wind,C,WINNEBAGO,0,0,0,0,0,0,
10013727,IOWA,1980,September,Hail,C,FLOYD,0,0,0,0,0,0,
10013728,IOWA,1980,September,Thunderstorm Wind,C,FLOYD,0,0,0,0,0,0,
10013729,IOWA,1980,September,Thunderstorm Wind,C,WINNESHIEK,0,0,0,0,0,0,
10013730,IOWA,1980,October,Tornado,C,BOONE,0,0,0,0,250K,0,F1
10123873,SOUTH DAKOTA,1980,June,Tornado,C,PERKINS,0,0,0,0,0K,0,
10123874,SOUTH DAKOTA,1980,June,Tornado,C,PERKINS,0,0,0,0,0K,0,
10123875,SOUTH DAKOTA,1980,June,Tornado,C,PERKINS,0,0,0,0,0K,0,
10123876,SOUTH DAKOTA,1980,June,Tornado,C,PERKINS,0,0,0,0,0K,0,
10123877,SOUTH DAKOTA,1980,June,Tornado,C,PERKINS,0,0,0,0,0K,0,
10123878,SOUTH DAKOTA,1980,June,Hail,C,STANLEY,0,0,0,0,0,0,
10123879,SOUTH DAKOTA,1980,June,Thunderstorm Wind,C,POTTER,0,0,0,0,0,0,
10123880,SOUTH DAKOTA,1980,June,Tornado,C,HAND,0,0,0,0,0K,0,F0
10123881,SOUTH DAKOTA,1980,June,Tornado,C,HAND,0,0,0,0,0K,0,F0
10123882,SOUTH DAKOTA,1980,June,Tornado,C,HAND,0,0,0,0,0K,0,F0
10123883,SOUTH DAKOTA,1980,June,Hail,C,STANLEY,0,0,0,0,0,0,
10123884,SOUTH DAKOTA,1980,June,Thunderstorm Wind,C,STANLEY,0,0,0,0,0,0,
10123885,SOUTH DAKOTA,1980,June,Hail,C,HUGHES,0,0,0,0,0,0,
10123886,SOUTH DAKOTA,1980,June,Hail,C,HUTCHINSON,0,0,0,0,0,0,
